Wave/freq,Total,CO2,N2,CO,O2,SO2,H2O,O3,Volcanic,Rayleigh,CIA,wavelength,Total_normalized,peak_index,planet,N2O,CH4,Dust,WaterIce,H2,He,C2H6,C2H2,Ammonia,NH3,C2H4
12.16884974,0.868456,0.993107,0.999999,0.999999,0.999999,,0.999999,0.999999,,0.999999,0.999999,121688.49740000001,0.9199404683089081,640,mars,,,0.909273,0.961738,,,,,,,
13.78481914,0.484651,0.542753,0.999999,0.999999,0.999999,,0.999997,0.99999,,0.999999,0.999999,137848.1914,0.5133824487439554,665,mars,,,0.921204,0.969328,,,,,,,
16.08973854,0.359727,0.398632,0.999999,0.999999,0.999999,,0.999878,0.999999,,0.999999,0.999999,160897.3854,0.38105260927825774,696,mars,,,0.914793,0.986456,,,,,,,
16.66139725,0.465716,0.5162,0.999999,0.999999,0.999999,,0.998142,0.999999,,0.999999,0.999999,166613.9725,0.4933249296901069,703,mars,,,0.913209,0.987945,,,,,,,
0.6043386235,1.57765e-11,,,,,,,,,0.228878,0.999943,6043.386235,0.33210957416127934,38,saturn,,0.964985,,,0.999849,0.999999,0.999999,0.999999,7.14455e-11,,
0.6480450769,2.1911e-11,,,,,,,,,0.327839,0.998342,6480.450769,0.46124633977420804,52,saturn,,0.903321,,,0.999999,0.999999,0.999999,0.999999,7.41103e-11,,
0.6914551546,2.92939e-11,,,,,,,,,0.422968,0.999988,6914.551546,0.6166630529282858,65,saturn,,0.931247,,,0.999999,0.999999,0.999999,0.999999,7.4372e-11,,
0.71245984,2.45817e-11,,,,,,,,,0.466085,0.999965,7124.5984,0.5174669869210738,71,saturn,,0.717335,,,0.999999,0.999999,0.999999,0.999999,7.35256e-11,,
0.752639606,3.75163e-11,,,,,,,,,0.54174,0.999631,7526.39606,0.7897519993095303,82,saturn,,0.963113,,,0.999951,0.999999,0.999999,0.999999,7.19335e-11,,
0.8315881719,4.27491e-11,,,,,,,,,0.662791,0.993414,8315.881719,0.8999071655169365,102,saturn,,0.94226,,,0.999996,0.999999,0.999999,0.999999,6.89047e-11,,
0.8483450899,1.47415e-11,,,,,,,,,0.684033,0.978444,8483.450899,0.310321889360663,106,saturn,,0.324015,,,0.995587,0.999999,0.999999,0.999999,6.82785e-11,,
0.9373327377,4.75039e-11,,,,,,,,,0.775066,0.999879,9373.327377,1.0,126,saturn,,0.94236,,,0.999997,0.999999,0.999999,0.999999,6.50469e-11,,
1.051267422,1.90835e-11,,,,,,,,,0.851257,0.388275,10512.67422,0.4017249110073068,149,saturn,,0.944474,,,0.999999,0.999999,0.999999,0.999999,6.11316e-11,,
0.5836035417,1.4722400000000002e-24,,,,,,0.984984,,,0.485649,0.999928,5836.035416999999,0.592670123345464,31,jupiter,,0.99758,,,0.999999,0.999999,0.999999,0.999999,3.0853800000000004e-24,0.999999,0.999999
0.6103971182,1.71939e-24,,,,,,0.999381,,,0.546861,0.999944,6103.971182,0.6921636984316124,40,jupiter,,0.968067,,,0.999998,0.999999,0.999999,0.999999,3.25001e-24,0.999999,0.999999
0.6416129075,2.01728e-24,,,,,,0.975548,,,0.609936,0.999591,6416.129075,0.8120833467521175,50,jupiter,,0.982266,,,0.999983,0.999999,0.999999,0.999999,3.45291e-24,0.999999,0.999999
0.6777972017,2.3960700000000003e-24,,,,,,0.998106,,,0.672345,0.999977,6777.972017,0.9645703842066279,61,jupiter,,0.995651,,,0.999999,0.999999,0.999999,0.999999,3.5861800000000004e-24,0.999999,0.999999
0.71245984,1.94613e-24,,,,,,0.834867,,,0.722394,0.999074,7124.5984,0.7834409519822227,71,jupiter,,0.940894,,,0.999999,0.999999,0.999999,0.999999,3.4327300000000005e-24,0.999999,0.999999
0.752639606,2.48408e-24,,,,,,0.995475,,,0.770196,0.999798,7526.39606,1.0,82,jupiter,,0.99313,,,0.999974,0.999999,0.999999,0.999999,3.2630500000000004e-24,0.999999,0.999999
0.8070713542,1.4569000000000002e-24,,,,,,0.797054,,,0.820796,0.994692,8070.7135419999995,0.5864947988792631,96,jupiter,,0.735071,,,0.99951,0.999999,0.999999,0.999999,3.04649e-24,0.999999,0.999999
0.8483450899,1.8429200000000003e-24,,,,,,0.929706,,,0.850642,0.992336,8483.450899,0.7418923706160833,106,jupiter,,0.813286,,,0.998057,0.999999,0.999999,0.999999,2.8919100000000003e-24,0.999999,0.999999
0.8741157008,5.19834e-25,,,,,,0.992409,,,0.866308,0.999357,8741.157008,0.20926620720749733,112,jupiter,,0.215828,,,0.999913,0.999999,0.999999,0.999999,2.7993900000000002e-24,0.999999,0.999999
